100000000,2,12019
200000000,2,23746
10000000,2,1142
200000000,16,14422
100000000,4,7077
200000000,8,12917
100000000,16,6911
200000000,4,14311
100000000,8,6213
10000000,4,757
10000000,1,1995
200000000,1,43919
100000000,1,21331
10000000,8,629
1000000,2,101
10000000,16,680
1000000,4,102
1000000,16,70
1000000,8,74
2000000,16,172
100000000,2,12723
2000000,8,140
200000000,2,26682
10000000,2,1202
100000,16,9
2000000,1,401
3000000,16,231
3000000,1,636
2000000,4,197
3000000,8,195
200000000,16,15597
100000000,4,7941
200000000,8,14073
100000000,16,7919
4000000,2,511
200000000,4,16389
100000,8,6
4000000,4,325
100000000,8,6716
10000000,4,845
1000000,1,197
10000000,1,2092
2000000,2,228
200000000,1,46095
100000,1,17
100000,2,10
3000000,2,337
4000000,16,317
100000000,1,22271
10000000,8,645
1000000,2,140
10000000,16,746
1000000,4,91
100000,4,8
4000000,1,814
1000000,16,70
1000000,8,65
3000000,4,241
4000000,8,293
